# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 651  of event 'cpu-clock'
# Event count (approx.): 6575757510
#
# Overhead  Command          Shared Object                 Symbol
# ........  ...............  ............................  ......................................
#
     0.15%  queue0:src       libglib-2.0.so.0.7600.1       [.] 0x00000000000bb900
     0.15%  queue0:src       libgobject-2.0.so.0.7600.1    [.] 0x0000000000046a8c
     0.15%  queue0:src       libgstcoreelements.so         [.] 0x00000000000473fc
     0.15%  queue0:src       libgstcoretracers.so          [.] 0x0000000000004c68
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0  [.] gst_debug_log
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0  [.] gst_object_ref
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0  [.] 0x0000000000075ebc
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0  [.] 0x0000000000075f4c
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0  [.] 0x0000000000082690
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0  [.] 0x0000000000083268
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0  [.] 0x00000000000d6b4c
     0.15%  queue0:src       libgstreamer-1.0.so.0.2411.0  [.] 0x00000000000d6be0
     0.15%  queue0:src       libgstrockchipmpp.so          [.] gst_mpp_enc_convert
     0.15%  queue0:src       libgstrockchipmpp.so          [.] gst_mpp_rga_info_from_video_info
     0.15%  queue0:src       libgstvideo-1.0.so.0.2411.0   [.] gst_buffer_add_meta@plt
     0.15%  queue0:src       libgstvideo-1.0.so.0.2411.0   [.] gst_buffer_add_video_meta_full
     0.15%  queue0:src       libgstvideo-1.0.so.0.2411.0   [.] gst_buffer_get_video_meta
     0.15%  queue0:src       libgstvideo4linux2.so         [.] gst_buffer_peek_memory@plt
     0.15%  queue0:src       libgstvideo4linux2.so         [.] gst_object_ref@plt
     0.15%  queue0:src       libgstvideo4linux2.so         [.] 0x000000000000ce80
     0.15%  queue0:src       libgstvideo4linux2.so         [.] 0x000000000001fad8
     0.15%  queue0:src       librockchip_mpp.so.0          [.] mpp_buffer_ref_dec
     0.15%  v4l2src0:src     [kernel.kallsyms]             [k] do_sys_poll
     0.15%  v4l2src0:src     libc.so.6                     [.] clock_gettime
     0.15%  v4l2src0:src     libc.so.6                     [.] malloc
     0.15%  v4l2src0:src     libglib-2.0.so.0.7600.1       [.] g_hash_table_lookup
     0.15%  v4l2src0:src     libglib-2.0.so.0.7600.1       [.] g_hook_first_valid
     0.15%  v4l2src0:src     libgstbase-1.0.so.0.2411.0    [.] 0x000000000003f8b8
     0.15%  v4l2src0:src     libgstcoretracers.so          [.] 0x0000000000005560
     0.15%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0  [.] gst_debug_log_valist
     0.15%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0  [.] gst_object_unref
     0.15%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0  [.] gst_poll_fd_has_error
     0.15%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0  [.] 0x00000000000848d8
     0.15%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0  [.] 0x00000000000a7cf0
     0.15%  v4l2src0:src     libgstvideo4linux2.so         [.] 0x000000000001f200


#
# (Cannot load tips.txt file, please install perf!)
#
