# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 663  of event 'cpu-clock'
# Event count (approx.): 6696969630
#
# Overhead  Command          Shared Object                 Symbol
# ........  ...............  ............................  ............................................
#
     0.15%  queue0:src       [kernel.kallsyms]             [k] arch_local_irq_save
     0.15%  queue0:src       [kernel.kallsyms]             [k] d_set_d_op
     0.15%  queue0:src       [kernel.kallsyms]             [k] dma_pool_alloc
     0.15%  queue0:src       [kernel.kallsyms]             [k] folio_mark_accessed
     0.15%  queue0:src       [kernel.kallsyms]             [k] free_pgd_range
     0.15%  queue0:src       [kernel.kallsyms]             [k] free_unref_page_list
     0.15%  queue0:src       [kernel.kallsyms]             [k] get_futex_key
     0.15%  queue0:src       [kernel.kallsyms]             [k] get_next_ino
     0.15%  queue0:src       [kernel.kallsyms]             [k] get_page_from_freelist
     0.15%  queue0:src       [kernel.kallsyms]             [k] iommu_dma_alloc_iova
     0.15%  queue0:src       [kernel.kallsyms]             [k] kmem_cache_alloc
     0.15%  queue0:src       [kernel.kallsyms]             [k] kmem_cache_alloc_lru
     0.15%  queue0:src       [kernel.kallsyms]             [k] kmem_cache_free
     0.15%  queue0:src       [kernel.kallsyms]             [k] lru_add_drain_cpu
     0.15%  queue0:src       [kernel.kallsyms]             [k] mark_page_accessed
     0.15%  queue0:src       [kernel.kallsyms]             [k] mas_prev_nentry
     0.15%  queue0:src       [kernel.kallsyms]             [k] mas_store_b_node
     0.15%  queue0:src       [kernel.kallsyms]             [k] number
     0.15%  queue0:src       [kernel.kallsyms]             [k] page_add_file_rmap
     0.15%  queue0:src       [kernel.kallsyms]             [k] rcu_all_qs
     0.15%  queue0:src       [kernel.kallsyms]             [k] rga2_set_reg
     0.15%  queue0:src       [kernel.kallsyms]             [k] rga_job_commit
     0.15%  queue0:src       [kernel.kallsyms]             [k] rga_mm_check_range_sgt
     0.15%  queue0:src       [kernel.kallsyms]             [k] rkisp_buf_queue
     0.15%  queue0:src       [kernel.kallsyms]             [k] sg_next
     0.15%  queue0:src       [kernel.kallsyms]             [k] system_heap_attach
     0.15%  queue0:src       [kernel.kallsyms]             [k] tlb_remove_table
     0.15%  queue0:src       [kernel.kallsyms]             [k] validate_page_before_insert
     0.15%  queue0:src       [kernel.kallsyms]             [k] video_usercopy
     0.15%  queue0:src       libc.so.6                     [.] __mmap
     0.15%  queue0:src       libc.so.6                     [.] pthread_mutex_lock
     0.15%  queue0:src       libc.so.6                     [.] 0x0000000000091f60
